Classes,,,,"label xml:lang=""zh""","label xml:lang=""en""","definition xml:lang=""zh""","comment xml:lang=""zh""",URI,versionInfo,isDefinedBy,disjointWith,equivalentClass
Facility,,,,设备,Facility,广义的设施,包含各种人造设施,radaro:Facility,1,radaro,,
,Vehicle,,,交通工具,Vehicle,用于运输的交通工具,包含各种交通工具，如汽车，飞机等,radaro:Vehicle,1,radaro,,
,,Plane,,飞机,Plane,,,radaro:Plane,1,radaro,,
,Detector,,,探测器,Detector,,,radaro:Detector,1,radaro,,
,,Radar,,雷达,Radar,,,radaro:Radar,1,radaro,,
,Computer,,,计算设备,Computer,,,radaro:Computer,1,radaro,,
,Weapon,,,武器,Weapon,,,radaro:Weapon,1,radaro,,
,Component,,,组件,Component,,,radaro:,1,radaro,,
,,AntennaServo,,天线伺服器,AntennaServo,,,radaro:AntennaServo,1,radaro,,
,,Receiver,,接收器,Receiver,,,radaro:Receiver,1,radaro,,
,,SignalProcessor,,信号处理机,SignalProcessor,,,radaro:SignalProcessor,1,radaro,,
,,DataProcessor,,数据处理机,DataProcessor,,,radaro:DataProcessor,1,radaro,,
,,Terminal,,终端,Terminal,,,radaro:Terminal,1,radaro,,
,,Timer,,定时器,Timer,,,radaro:Timer,1,radaro,,
,,FrequencySource,,主振频率源,FrequencySource,,,radaro:FrequencySource,1,radaro,,
,,FrequencySynthesizer,,频率合成器,FrequencySynthesizer,,,radaro:FrequencySynthesizer,1,radaro,,
,System,,,系统,System,,,radaro:System,1,radaro,,
,,RadarSystem,,雷达系统,RadarSystem,,,radaro:RadarSystem,1,radaro,,
,,,XXX,抗干扰技术信号源库,XXX,,,radaro:,1,radaro,,
,,,XXX,积极的干扰信号源库,XXX,,,radaro:,1,radaro,,
,,,XXX,电磁环境侦查接收机,XXX,,,radaro:,1,radaro,,
,,,XXX,对抗管理系统,XXX,,,radaro:,1,radaro,,
,Antenna,,,天线,,,,radaro:Antenna,1,radaro,,
,,WireAntenna,,线天线,,,,radaro:WireAntenna,1,radaro,,
,,SurfaceAntenna,,面天线,,,,radaro:SurfaceAntenna,1,radaro,,
,,PlannarSlotAntenna,,平板缝隙天线,,,,radaro:PlannarSlotAntenna,1,radaro,,
,,PassivePhasedArrayAntenna,,无源相控阵天线,,,,radaro:PassivePhasedArrayAntenna,1,radaro,,
,,ActivePhasedArrayAntenna,,有源相控阵天线,,,,radaro:ActivePhasedArrayAntenna,1,radaro,,
Agent,,,,代理者,Agent,行为的直接执行者或驱动者,包括个人、机构和团体。,radaro:Agent,1,radaro,,
,Person,,,个人,Person,一个个人或是由个人建立的识别身份。,包括活着的、死亡的、真实的和虚拟的人。,radaro:Person,1,radaro,,
,Organization,,,组织机构,Organization,社会组织机构,包括学校、出版社、公司等。,radaro:Organization,1,radaro,,
,,Company,,公司,Company,,,radaro:Company,1,radaro,,
Enumeration,,,,受控术语表,Enumeration,受控术语表,该类规定的个体，在使用中相当于受控词汇。,radaro:Enumeration,1,radaro,,
,RadarWorkMode,,,雷达工作方式,RadarWorkMode,,,radaro:RadarWorkMode,1,radaro,,
,RadarSystemType,,,雷达体制,RadarSystemType,,,radaro:RadarSystemType,1,radaro,,
,FacilityStatus,,,设备现状,FacilityStatus,,,radaro:FacilityStatus,1,radaro,,
,FrequencyBand,,,频段,FrequencyBand,,,radaro:FrequencyBand,1,radaro,,
,PlaneType,,,飞机类型,PlaneType,,,radaro:PlaneType,1,radaro,,
